"","FileName","Time","APOE","Sex","APOE_Sex","Injection","Age","mean_FullCellComplexity","mean_log_MaxBranchLength","mean_log_AvgBranchLength","mean_t_index"
"76","20250515_Tser05165_microglia_Probabilities_combined.xlsx",14,"APOE4","Female","APOE4 Female","PostInjection","young",1.84905017388392,3.93126802224805,3.61149022049296,0.58651412264032
"77","20250515_Tser05165_microglia_Probabilities_combined.xlsx",15,"APOE4","Female","APOE4 Female","PostInjection","young",1.79858487850139,3.97212164889891,3.69463459924446,0.682828035619976
"78","20250515_Tser05165_microglia_Probabilities_combined.xlsx",16,"APOE4","Female","APOE4 Female","PostInjection","young",1.94880725450269,4.27088904753721,3.93269366797844,0.615792780091998
"79","20250515_Tser05165_microglia_Probabilities_combined.xlsx",17,"APOE4","Female","APOE4 Female","PostInjection","young",1.91669179000482,4.04167159938346,3.78303721106567,0.700940036892274
"80","20250515_Tser05165_microglia_Probabilities_combined.xlsx",18,"APOE4","Female","APOE4 Female","PostInjection","young",1.91058748808807,3.98763905602075,3.725763582538,0.677072403431052
"81","20250515_Tser05165_microglia_Probabilities_combined.xlsx",19,"APOE4","Female","APOE4 Female","PostInjection","young",1.93595243041066,4.02183735615038,3.70536902228248,0.594547736203922
"82","20250515_Tser05165_microglia_Probabilities_combined.xlsx",20,"APOE4","Female","APOE4 Female","PostInjection","young",1.94222483037384,4.03866925126454,3.76530045618065,0.674362209079901
"83","20250515_Tser05165_microglia_Probabilities_combined.xlsx",21,"APOE4","Female","APOE4 Female","PostInjection","young",1.84502775216945,3.98223548493532,3.66141037958139,0.608839828396936
"84","20250515_Tser05165_microglia_Probabilities_combined.xlsx",22,"APOE4","Female","APOE4 Female","PostInjection","young",1.87183224543959,3.90942948132947,3.59457414643353,0.597056603851088
"85","20250515_Tser05165_microglia_Probabilities_combined.xlsx",23,"APOE4","Female","APOE4 Female","PostInjection","young",2.04616510349636,4.33152752404234,4.01000326439179,0.607536845755255
"86","20250515_Tser05165_microglia_Probabilities_combined.xlsx",24,"APOE4","Female","APOE4 Female","PostInjection","young",1.96804322656795,4.19534706457455,3.87253512703559,0.641991705352302
"87","20250515_Tser05165_microglia_Probabilities_combined.xlsx",25,"APOE4","Female","APOE4 Female","PostInjection","young",1.94220922134089,4.00366101882555,3.7093463170689,0.64601550961081
"88","20250515_Tser05165_microglia_Probabilities_combined.xlsx",26,"APOE4","Female","APOE4 Female","PostInjection","young",1.89597414293568,4.06284872974185,3.78271556447487,0.662102554412085
"89","20250515_Tser05165_microglia_Probabilities_combined.xlsx",27,"APOE4","Female","APOE4 Female","PostInjection","young",1.84347341356444,3.95769230859343,3.66357058601093,0.650296592117312
"90","20250515_Tser05165_microglia_Probabilities_combined.xlsx",28,"APOE4","Female","APOE4 Female","PostInjection","young",1.87734143841353,3.99892659819516,3.71585429674721,0.684058267304349
"91","20250515_Tser05165_microglia_Probabilities_combined.xlsx",29,"APOE4","Female","APOE4 Female","PostInjection","young",1.92907723292136,4.21633331316868,3.86153126953561,0.597226293275914
"92","20250515_Tser05165_microglia_Probabilities_combined.xlsx",30,"APOE4","Female","APOE4 Female","PostInjection","young",2.04220860631556,4.4598790559226,4.16751502395799,0.561361338210857
"93","20250515_Tser05165_microglia_Probabilities_combined.xlsx",31,"APOE4","Female","APOE4 Female","PostInjection","young",1.90947251790073,4.06672074064316,3.79310378524235,0.691226639536898
"94","20250515_Tser05165_microglia_Probabilities_combined.xlsx",32,"APOE4","Female","APOE4 Female","PostInjection","young",1.89423846035644,4.02895580654043,3.7256501467624,0.654431532789044
"95","20250515_Tser05165_microglia_Probabilities_combined.xlsx",33,"APOE4","Female","APOE4 Female","PostInjection","young",1.92765312635321,4.1257968463948,3.82863331251396,0.625842849115337
"96","20250515_Tser05165_microglia_Probabilities_combined.xlsx",34,"APOE4","Female","APOE4 Female","PostInjection","young",1.87935863035184,3.99761123531525,3.73328861663651,0.685891968068162
"97","20250515_Tser05165_microglia_Probabilities_combined.xlsx",35,"APOE4","Female","APOE4 Female","PostInjection","young",1.81892047632226,3.90826672318218,3.65266440259717,0.678203213162341
"98","20250515_Tser05165_microglia_Probabilities_combined.xlsx",36,"APOE4","Female","APOE4 Female","PostInjection","young",1.88414488048465,3.97117914596871,3.6502379655675,0.609285205968441
"99","20250515_Tser05165_microglia_Probabilities_combined.xlsx",37,"APOE4","Female","APOE4 Female","PostInjection","young",1.84604791013872,3.93997067476525,3.61560216829161,0.589252712810274
"100","20250515_Tser05165_microglia_Probabilities_combined.xlsx",38,"APOE4","Female","APOE4 Female","PostInjection","young",1.86034240053689,3.92031268727851,3.6183945021243,0.612263441396057
"101","20250515_Tser05165_microglia_Probabilities_combined.xlsx",39,"APOE4","Female","APOE4 Female","PostInjection","young",1.92692383921986,4.08526003503027,3.77321310932046,0.592516521650403
"102","20250515_Tser05165_microglia_Probabilities_combined.xlsx",40,"APOE4","Female","APOE4 Female","PostInjection","young",1.8626862737526,3.98643067156134,3.68355758075032,0.621885382372679
"103","20250515_Tser05165_microglia_Probabilities_combined.xlsx",41,"APOE4","Female","APOE4 Female","PostInjection","young",1.99936019185288,3.99766958341704,3.67147567519974,0.606430577995648
